,"('Cosine_sim', '0')","('Cosine_sim', '1')","('Cosine_sim', '10')","('Cosine_sim', '11')","('Cosine_sim', '12')","('Cosine_sim', '13')","('Cosine_sim', '14')","('Cosine_sim', '15')","('Cosine_sim', '16')","('Cosine_sim', '17')","('Cosine_sim', '18')","('Cosine_sim', '19')","('Cosine_sim', '2')","('Cosine_sim', '20')","('Cosine_sim', '21')","('Cosine_sim', '22')","('Cosine_sim', '23')","('Cosine_sim', '24')","('Cosine_sim', '25')","('Cosine_sim', '26')","('Cosine_sim', '27')","('Cosine_sim', '28')","('Cosine_sim', '29')","('Cosine_sim', '3')","('Cosine_sim', '4')","('Cosine_sim', '5')","('Cosine_sim', '6')","('Cosine_sim', '7')","('Cosine_sim', '8')","('Cosine_sim', '9')","('SE_T104_001', '0')","('SE_T104_001', '1')","('SE_T104_001', '10')","('SE_T104_001', '11')","('SE_T104_001', '12')","('SE_T104_001', '13')","('SE_T104_001', '14')","('SE_T104_001', '15')","('SE_T104_001', '16')","('SE_T104_001', '17')","('SE_T104_001', '18')","('SE_T104_001', '19')","('SE_T104_001', '2')","('SE_T104_001', '20')","('SE_T104_001', '21')","('SE_T104_001', '22')","('SE_T104_001', '23')","('SE_T104_001', '24')","('SE_T104_001', '25')","('SE_T104_001', '26')","('SE_T104_001', '27')","('SE_T104_001', '28')","('SE_T104_001', '29')","('SE_T104_001', '3')","('SE_T104_001', '4')","('SE_T104_001', '5')","('SE_T104_001', '6')","('SE_T104_001', '7')","('SE_T104_001', '8')","('SE_T104_001', '9')","('rent_final', '0')","('rent_final', '1')","('rent_final', '10')","('rent_final', '11')","('rent_final', '12')","('rent_final', '13')","('rent_final', '14')","('rent_final', '15')","('rent_final', '16')","('rent_final', '17')","('rent_final', '18')","('rent_final', '19')","('rent_final', '2')","('rent_final', '20')","('rent_final', '21')","('rent_final', '22')","('rent_final', '23')","('rent_final', '24')","('rent_final', '25')","('rent_final', '26')","('rent_final', '27')","('rent_final', '28')","('rent_final', '29')","('rent_final', '3')","('rent_final', '4')","('rent_final', '5')","('rent_final', '6')","('rent_final', '7')","('rent_final', '8')","('rent_final', '9')","('weighted_rent_final', '0')","('weighted_rent_final', '1')","('weighted_rent_final', '10')","('weighted_rent_final', '11')","('weighted_rent_final', '12')","('weighted_rent_final', '13')","('weighted_rent_final', '14')","('weighted_rent_final', '15')","('weighted_rent_final', '16')","('weighted_rent_final', '17')","('weighted_rent_final', '18')","('weighted_rent_final', '19')","('weighted_rent_final', '2')","('weighted_rent_final', '20')","('weighted_rent_final', '21')","('weighted_rent_final', '22')","('weighted_rent_final', '23')","('weighted_rent_final', '24')","('weighted_rent_final', '25')","('weighted_rent_final', '26')","('weighted_rent_final', '27')","('weighted_rent_final', '28')","('weighted_rent_final', '29')","('weighted_rent_final', '3')","('weighted_rent_final', '4')","('weighted_rent_final', '5')","('weighted_rent_final', '6')","('weighted_rent_final', '7')","('weighted_rent_final', '8')","('weighted_rent_final', '9')",rent_final,city_final,SE_T104_001
298,0.7849197231749578,0.5725088802913644,0.4251813645104456,0.42244933858250006,0.40862944498886444,0.4055145015561611,0.38611629517049956,0.38561853885200126,0.3823156983685144,0.37751735407237125,0.37546699158900637,0.37008370957094894,0.5235190312490589,0.36764159570165655,0.367532904110398,0.36472317105993945,0.3591920527295166,0.3508058427507711,0.3476159723761663,0.3455725595271568,0.3446024338152964,0.3440584392870952,0.3351233242365463,0.5184552161428606,0.48748866087668236,0.485773123707927,0.47544704883623395,0.4605742307753893,0.43649970915745967,0.4264666279650756,1046.0,1192.0,891.0,901.0,736.0,1192.0,933.0,910.0,1046.0,888.0,1092.0,819.0,960.0,951.0,820.0,998.0,910.0,1082.0,1307.0,1046.0,1170.0,767.0,1186.0,1192.0,696.0,970.0,958.0,892.0,901.0,794.0,595.0,1085.75,745.0,1337.5,575.0,955.0,925.0,786.6666666666665,1005.0,708.75,1034.0,661.5,1064.25,914.0,705.0,985.0,1028.5,1179.25,1273.3333333333335,875.0,1107.5,669.0,1029.5,945.0,588.3333333333334,1129.5,1197.5,1005.0,780.0,1051.75,467.0272352890999,621.6015167763488,316.760116560282,565.0259903540938,234.96193086859705,387.26634898613383,357.1575730327121,303.35325056357425,384.227276860357,267.5654246987931,388.2328693030326,244.81037388118273,557.1551290068109,336.0244184713141,259.1106973978306,359.25232349404035,369.4290262323078,413.6877900638468,442.6310048256518,302.3759895862622,381.6471954504408,230.17509588306666,345.0094623015244,489.9401792550033,286.80582881578147,548.6807432281036,569.3478409813902,462.87710192926625,340.46977314281855,448.5362759622683,1738.833333333333,Chattanooga,958.0
153,0.5007313898526896,0.47707903121061357,0.38676598166189746,0.3810424611976808,0.3766183240080129,0.3755280059794085,0.3744215597541665,0.36373188048041216,0.3630126404896728,0.3398918730616555,0.3336214726096263,0.32922960635812615,0.45854890445877955,0.32826450676043645,0.3276874018504205,0.3204969263450586,0.31380806111590104,0.31333327306976144,0.31262069178035656,0.30473715343414354,0.30169659463488385,0.2939478314173432,0.29017041593592136,0.44079170512385624,0.43327765246165556,0.4327388178480262,0.41644195427941866,0.40274160763618055,0.40123732678710067,0.40015735759392723,848.0,1100.0,892.0,1157.0,901.0,967.0,709.0,1362.0,767.0,960.0,988.0,958.0,1024.0,898.0,820.0,807.0,951.0,1157.0,807.0,933.0,1219.0,988.0,799.0,767.0,901.0,960.0,960.0,1188.0,944.0,892.0,718.0,822.5,924.0,1212.5,662.5,940.0,728.0,1125.0,669.0,580.0,1304.5,1029.75,845.0,1075.0,705.0,756.5,915.0,1121.25,720.0,858.3333333333335,1099.0,965.0,798.3333333333335,889.5,780.0,974.25,796.625,925.0,730.3333333333335,972.5,359.52513791423115,392.39750317072964,357.37176705559324,462.013984202188,249.50963965530852,352.996325620644,272.57889550103323,409.19836554046367,242.8554564875911,197.1372863757602,435.20921101925757,339.0241871472804,387.4738242676687,352.8843447674692,231.01961830454644,242.45592478003684,287.13437592104947,351.32493242947004,225.08689808185673,261.5660566976399,331.5645575037374,283.6596573177362,231.65271538884392,392.0842217076701,337.95656892009134,421.59579328843955,331.7480718278419,372.535987063467,293.03699433017925,389.1530302600942,1077.3333333333333,Columbia,901.0
729,0.44568681511183034,0.4030777859916677,0.33789465968389093,0.3207942827909762,0.3179206636546633,0.3131349528884949,0.3091864948443715,0.30652315360215376,0.3034342267429707,0.2985988915976243,0.29796005853101337,0.29086667814705974,0.40094647665055955,0.2859247291507929,0.2845831949976871,0.2809565149985901,0.2797973635008385,0.27816962906060355,0.2762213225627259,0.2762213225627259,0.2762213225627259,0.2695064206713654,0.2691557183531507,0.3977329961835607,0.3928012950003959,0.38908930651611046,0.3862856110708445,0.366693135236002,0.3538780509500533,0.3441127384902288,1140.0,1140.0,889.0,1046.0,998.0,1140.0,1150.0,1140.0,1209.0,892.0,1087.0,1140.0,1683.0,1046.0,1186.0,1140.0,1140.0,1082.0,951.0,951.0,951.0,1734.0,1240.0,1140.0,1140.0,1140.0,797.0,1140.0,1140.0,1140.0,1812.5,1160.0,1052.0,1319.8333333333335,1427.5,1020.0,1485.0,1780.0,1596.0,1002.5,1258.75,1550.0,2695.0,1252.5,1310.0,1949.5,1240.8333333333335,1267.5,1049.6666666666667,1049.6666666666667,1049.6666666666667,1725.0,1652.0,1330.0,1337.6666666666667,2425.0,1124.0,1412.5,1222.5,1366.6666666666667,807.8073523901925,467.57023175033453,355.46518198745326,423.39498757029014,453.8317473670319,319.39765194626483,459.1419448438917,545.6112134118337,484.28102588178126,299.3453888266184,375.05722367591306,450.8433511279426,1080.550754573258,358.12072326136814,372.8039854469701,547.7247259897514,347.1818952106238,352.580004834315,289.94031491667465,289.94031491667465,289.94031491667465,464.8985756581053,444.645246719405,528.9848849241357,525.4371989455296,943.5415683015678,434.18502684362926,517.9540535208528,432.61591728644015,470.2874092699794,1185.0,Austin,1140.0
922,0.519162359278363,0.4636983185498522,0.3903232848775181,0.3878427443359841,0.3873335219448626,0.3870606730652905,0.3869100665598922,0.3820411325427833,0.3741445683307703,0.3707763568135202,0.3699656866766646,0.35980480637871504,0.4429012362766947,0.35849902072802187,0.355135643941492,0.3509973531546209,0.3478065774692744,0.3401456477446708,0.33172247088781276,0.3270437485850077,0.32632861348400927,0.32443272566084597,0.32354915185673405,0.4294110976169861,0.40663321259761076,0.4033219929574742,0.40015052018416913,0.39834873835182205,0.3948977957513652,0.3948977957513652,2211.0,1973.0,1973.0,951.0,2849.0,1814.0,2211.0,1930.0,1930.0,1816.0,1847.0,1847.0,2251.0,1947.0,2214.0,2114.0,1816.0,1973.0,1816.0,1816.0,1167.0,1816.0,1398.0,2849.0,1930.0,1816.0,1973.0,1683.0,1816.0,1816.0,3876.0,2395.0,2236.25,4935.0,4480.0,3105.166666666667,5161.5,5427.5,2993.75,3449.416666666667,2909.666666666667,2624.25,8760.0,5655.0,8120.0,5497.5,2338.75,2624.0,3955.0,2546.0,1724.25,4572.5,4281.25,4345.0,6117.666666666666,2481.5,5223.666666666666,2932.5,2250.0,2250.0,2012.2733045629348,1110.557472926896,872.8604458073498,1914.0039432980816,1735.2541783129843,1201.8878999799047,1997.0363085488834,2073.5282468759565,1120.0953014402437,1278.9621447985037,1076.4768263335352,944.2177631393429,3879.8148297838457,2027.3119622169636,2883.701428804915,1929.6079489675283,813.4326330562656,892.5421796820162,1311.9623723612995,832.6533838974295,562.672111799803,1483.4686380842181,1385.1948063866428,1865.7912191458045,2487.6464502679833,1000.8435255239722,2090.2529339353714,1168.1576752167182,888.5200404405716,888.5200404405716,3361.25,Chicago,1973.0
1064,0.5106988634547855,0.5015723102365625,0.34487096888402274,0.3446751242157658,0.3446737411744805,0.3305794724143582,0.327156423779459,0.31832876447519426,0.31468556125565933,0.30897470593888454,0.30450980030729596,0.29515849753459134,0.4776189330518231,0.2909574196475847,0.2871262543114031,0.28054757149167386,0.2765561057291908,0.2749101314060945,0.27476010175542526,0.27206647378091137,0.26738206837869494,0.2669009444784852,0.26146606991481897,0.4653178271990822,0.4599341444919708,0.4429926483857084,0.40328806489577984,0.36194222465423864,0.35607504438465865,0.3449741843006351,945.0,945.0,1370.0,834.0,945.0,1370.0,945.0,2114.0,1370.0,1816.0,945.0,1398.0,834.0,1092.0,920.0,920.0,920.0,1683.0,1398.0,2440.0,1847.0,920.0,1398.0,945.0,945.0,945.0,919.0,945.0,945.0,1037.0,2225.833333333333,1946.0,2577.75,1400.0,3755.166666666666,2162.5,1595.0,5366.5,2083.75,2967.5,2122.5,1772.0,3500.0,1950.0,2833.75,1230.0,1479.75,2235.0,1650.0,6297.0,944.0,747.0,2182.5,1950.0,1050.0,1196.0,5670.0,1345.0,2344.75,2065.0,1136.73055357311,976.0597157203506,888.9911400407897,482.5451739020721,1294.3073437337032,714.8781090960496,521.8144959282372,1708.31131455613,655.7260382664801,916.8824398736399,646.3220511522356,523.0208576312958,1671.666265681381,567.3669683127902,813.6440231549385,345.07351293475887,409.2338974527701,614.4241436926212,453.35416789645166,1713.202585398399,252.40867254948802,199.37500552542846,570.6496975890924,907.3697630382103,482.93085171656935,529.8192074693072,2286.6433279590715,486.81229215995097,834.9069603209283,712.3716905808114,2225.0,Chicago,945.0
1333,0.6441888209023019,0.6184951660666916,0.5161965511286171,0.5143444114935415,0.5040744314492542,0.4968968141872718,0.48373310785661694,0.48259037169773267,0.48139771005216364,0.47575608973613764,0.47541568270114537,0.4737709290326325,0.5909886838707993,0.469616842919046,0.4648125334358359,0.46406366256280607,0.4631767476862909,0.4555376656524887,0.45173726043913853,0.4514483614871951,0.450347995654307,0.4467938839933796,0.4460085494247153,0.5838263527091581,0.5724049591323119,0.5631350846896168,0.5446650744407566,0.5255976602773655,0.5237206338420507,0.5205207070849249,1930.0,3005.0,826.0,1973.0,1930.0,2053.0,711.0,2114.0,1814.0,1398.0,2187.0,1021.0,1973.0,1021.0,2849.0,1362.0,2735.0,1021.0,2974.0,1236.0,920.0,1021.0,1816.0,1021.0,917.0,2936.0,1157.0,1734.0,2847.0,1021.0,2512.75,3818.0,1546.75,2243.75,3438.25,3250.0,695.0,6823.166666666666,4228.0,1987.5,8777.5,1494.25,2395.0,2146.25,4160.0,1782.5,4212.0,1894.6666666666665,7549.0,1355.0,1502.5,2224.0,1997.5,1353.0,1147.5,6795.0,1375.666666666667,3145.833333333333,4620.0,1130.0,1618.685459722259,2361.4145440426287,798.4270154581884,1154.0602732886337,1733.1339139303984,1614.9146461086332,336.1945099603488,3292.794537822246,2035.3495181005478,945.5652283505735,4172.961154909303,707.9322107070111,1415.4178978705643,1007.9151491150025,1933.6201390930773,827.1934785182018,1950.9004612546573,863.0920305229153,3410.164579055057,611.7125298151493,676.6478634705962,993.6695980012762,890.9020774758689,789.9170552154909,656.834690604328,3826.5029004659464,749.2775874056676,1653.4426396225456,2419.589328350274,588.1883990059652,4863.75,Newyork,2911.0
1189,0.7833479833547293,0.7565001794369549,0.5736516322393487,0.560717919464747,0.4783220162601649,0.4782523080193113,0.4775467254024529,0.47158805244946383,0.46196773490348825,0.4517121943754865,0.4504178219969899,0.44550316344121865,0.7366856190011388,0.44334572594072424,0.43010246077364,0.41903485572905425,0.4144035877247798,0.4131195478073184,0.41160994942503454,0.4056996833297227,0.3960043691380506,0.39467850985719677,0.3653454184335004,0.6851356577128214,0.6787758316946548,0.6738437847866586,0.6503571552043795,0.631694512261028,0.6193237024442692,0.6193237024442692,1370.0,1370.0,1236.0,1426.0,1236.0,1370.0,1370.0,1370.0,1236.0,1370.0,1370.0,918.0,1370.0,1426.0,1000.0,1370.0,1370.0,1370.0,1370.0,1370.0,1426.0,1236.0,1426.0,1370.0,1370.0,1236.0,1370.0,1236.0,1236.0,1236.0,1520.5,1425.0,1683.75,1610.5,1529.5,1200.0,1175.0,1380.0,1445.0,1462.5,2280.5,1318.0,2118.0,1385.0,725.0,1347.5,1355.0,1425.0,1372.5,1295.0,1457.5,712.0,1405.0,1731.0,2031.25,1281.5,1710.0,1893.25,1683.75,1683.75,1191.080608690866,1078.0127556976609,965.8859357830033,903.0362092979751,731.5935238699223,573.9027696231735,561.1174023478821,650.7915123802601,667.5433769355406,660.629084274149,1027.1778430641355,587.1731694155262,1560.300141044412,614.0338304279031,311.824284060889,564.6494680949006,561.5168613670767,588.6953556254288,564.9346555858599,525.3810899119909,577.1763680187088,281.0110990183241,513.310312899068,1185.9698235008939,1378.7634081297676,863.530810204103,1112.110735399489,1195.9556353381913,1042.786283990538,1042.786283990538,1557.0,Chicago,1370.0
157,0.6201962697648158,0.5895199220569945,0.5170552186392269,0.5153627751248157,0.5142550090141454,0.5119339692055458,0.5117572328044776,0.5087219718214984,0.506267030824588,0.5000416468947277,0.4894401762777054,0.4869352897055306,0.5867647669676834,0.48637742677771323,0.4778683236782584,0.4775436766391212,0.4633249694905183,0.4618452775883875,0.4618431018134954,0.4604812198542567,0.4598691994508537,0.4565272487182853,0.4551270120490573,0.5863830822843165,0.5547471436389557,0.5532283167880446,0.5519989287752981,0.5419016234918347,0.5362794446047318,0.5234722227827059,967.0,1038.0,960.0,1067.0,1307.0,1038.0,1140.0,960.0,869.0,807.0,1307.0,1229.0,1082.0,944.0,1140.0,1362.0,1407.0,958.0,1222.0,951.0,1240.0,1136.0,1683.0,780.0,848.0,807.0,799.0,910.0,799.0,892.0,1209.0,983.0,1130.0,1258.5,1542.333333333333,856.3333333333335,1005.5,1105.6666666666667,866.6666666666665,1015.0,1958.833333333333,1289.0,1262.5,882.5,1261.25,1782.5,1897.583333333333,806.25,952.5,1193.75,1312.0,1194.0,3342.5,1106.6666666666667,769.0,1262.5,987.5,713.0,878.75,898.75,749.8172901456622,579.4980833820257,584.2723970623264,648.5840524945805,793.1526422361502,438.38612229634913,514.5718975849022,562.4769268439701,438.7647600479762,507.54227159814866,958.7317319653118,627.6595884304289,740.7905182967003,429.2280791313319,602.7114232392033,851.2216036092335,879.1977400223826,372.3627550556374,439.90555447735437,549.699456201019,603.3483896795201,545.0935349696326,1521.262037773974,648.9306110613103,426.60055345835696,698.4507499449063,545.0989421656069,386.37585754967813,471.255561946408,470.4706602259569,768.5,Columbia,1149.0
275,0.7412726693113408,0.7162391422107515,0.5819209456983002,0.5727520326160852,0.5719712402842448,0.5572647597438826,0.5414558110605302,0.5412342975873988,0.5395077656339374,0.5379848060389285,0.5367745911601554,0.5322774770352551,0.7118721282179851,0.5255801413179954,0.518504782999486,0.5086479747269551,0.508399985890717,0.506267030824588,0.5026991172748617,0.5006152619985252,0.49604382596858143,0.49536460948284683,0.49489825753894967,0.6931935030786158,0.6864290209672191,0.6764566079820519,0.6722270239026924,0.6113479760209837,0.6036619409865,0.5877172484479213,891.0,807.0,1307.0,807.0,767.0,807.0,1240.0,892.0,1449.0,1307.0,967.0,1019.0,1150.0,1973.0,1021.0,917.0,1157.0,1149.0,960.0,951.0,696.0,799.0,1229.0,1186.0,1082.0,780.0,960.0,960.0,848.0,1362.0,947.0,1015.0,1542.333333333333,1262.5,556.25,762.5,1312.0,898.75,1254.0,1958.833333333333,1209.0,2026.5,1345.8333333333335,2243.75,1894.6666666666665,1147.5,1375.666666666667,768.5,1130.0,1286.25,644.0,755.0,1289.0,909.1666666666667,1262.5,1106.6666666666667,580.0,1105.6666666666667,769.0,1782.5,701.9852178378397,726.9827293439128,897.5160719153448,723.0994411778075,318.1590024081112,424.91437930471045,710.3900241114156,486.4343249566747,676.5427381049575,1053.822570895921,648.9604807126278,1078.6603072119444,958.061239226705,1179.270442082252,982.3937288563594,583.673550999181,699.3889139236632,389.0662131886959,568.0500025205937,643.9163807456031,319.45222392376644,374.00028015954933,637.9238539677061,630.228426548975,866.6166389711142,748.6119795001374,389.8916738635616,675.9470788205343,464.21603261861844,1047.6059953584197,866.6666666666665,Dayton,869.0
1337,0.3990872256616865,0.3958515822578158,0.3200645512756442,0.3150502344321641,0.31458272110489743,0.3120897713907934,0.3050607991655108,0.29845343641830374,0.2981316260190802,0.2972123380309831,0.294550446195185,0.29385030342841095,0.37650881756982574,0.29369950048261173,0.29274270136825636,0.2925519138066246,0.2906175806204798,0.2893729735061478,0.2865412176302961,0.2810542939608878,0.2755151426153455,0.2725216866877777,0.269716511372313,0.366436354414906,0.3626443417441581,0.3595570131768309,0.3398769539583128,0.3329372135148027,0.33292544754031,0.3219493848877793,2440.0,1398.0,1683.0,1683.0,1816.0,2440.0,1930.0,1264.0,1930.0,1847.0,2256.0,1554.0,2185.0,2440.0,920.0,1398.0,1683.0,1816.0,2214.0,1973.0,1092.0,2211.0,1398.0,1847.0,1847.0,1362.0,1973.0,2060.0,2114.0,2849.0,8895.0,2046.0,2932.5,4293.333333333333,3337.5,3550.0,3690.833333333333,4136.833333333333,6117.666666666666,3091.0,6595.5,6379.25,5361.666666666667,6788.5,2833.75,2917.5,3105.5,4572.5,3937.0,5223.666666666666,2687.5,4403.75,3770.0,2490.0,2830.0,3393.25,2289.0,2110.5,5445.0,4480.0,3549.8808722607014,809.9123372994911,938.5892966158266,1352.6156731620913,1049.9198316875952,1107.9186884373166,1125.9285662533728,1234.6521242231195,1823.8699107760597,918.6833368537689,1942.7074678803426,1874.5445481456907,2018.7147768702157,1993.7790590262098,829.5596300022964,853.5202085308273,902.5128966169001,1323.157921356861,1128.1127738104758,1468.1339468870242,740.446945778741,1200.117377751301,1016.83124787362,912.426522493116,1026.2834871359673,1220.0668349622815,777.978347610578,702.6639891229911,1812.779061856988,1442.3332442972512,5136.25,Newyork,2114.0
